A,B,C,D
-24,3,6,False
17,26,13,True
-22,45,3,True
20,43,37,True
22,2,31,True
0,33,-16,True
-47,44,10,True
-6,-9,-33,False
-50,10,21,True
-8,-43,24,False
44,-32,8,True
12,-49,25,True
-40,3,24,False
-28,18,-28,True
8,-36,29,True
-22,-14,45,True
42,0,-17,False
10,43,46,False
-29,42,-37,True
16,-39,-36,True
42,37,13,False
37,-13,-39,True
-36,-1,-5,True
24,12,6,True
20,-21,-29,False
-29,44,-31,True
17,-3,35,False
10,-39,41,True
42,40,29,False
-6,38,-17,False
-36,10,38,False
7,14,-34,False
1,-45,3,False
-35,-14,-45,True
0,24,38,False
-35,4,-18,True
1,-9,41,False
-35,-13,32,True
41,17,47,False
-27,-41,-32,False
36,7,15,False
39,-35,-15,True
49,8,34,False
-44,-38,10,False
49,-12,9,True
-2,34,19,True
-15,-49,24,True
-17,27,41,False
21,-30,39,False
-29,-42,-21,False
-40,22,-46,True
48,-25,-20,True
-40,-7,-25,True
20,-37,-1,False
45,22,-26,False
6,48,44,False
-21,-34,13,False
34,30,50,False
-11,12,2,True
16,26,27,True
3,36,-2,False
8,13,1,False
-47,34,-47,True
38,-42,-50,True
-4,32,-24,True
-12,6,-44,True
-36,6,-28,False
48,16,-2,True
10,44,30,False
-11,29,-23,True
48,-33,-1,False
41,31,-4,False
28,46,-35,False
-7,-16,1,False
44,-50,49,True
47,46,-36,False
49,-7,43,True
8,37,-18,True
14,49,1,False
-38,48,-21,True
-2,33,-12,True
8,33,-1,False
12,-13,-49,False
6,21,-26,True
-50,-31,14,False
-35,-32,50,True
-7,15,-18,False
40,-31,43,True
-50,42,11,True
-22,3,-42,True
-41,49,42,True
34,25,27,False
-16,-24,47,True
-10,-18,-2,False
13,-17,47,False
-5,-17,-37,True
9,40,27,False
34,48,0,True
9,-44,-1,True
-11,36,43,False
