A,B,C,D
50,-19,-36,True
9,-37,-7,True
48,-3,12,True
33,-24,43,True
43,49,42,False
-33,14,40,False
-33,-2,49,True
-38,-50,13,False
-12,23,-11,False
-3,0,17,True
-11,-22,9,True
20,-35,37,False
36,5,-22,True
-28,-6,18,True
36,-33,22,True
-19,-48,31,True
38,26,-45,False
5,45,-26,False
-38,-41,39,False
-13,-36,-3,True
-30,-50,41,False
37,43,41,True
14,48,-30,True
-30,-14,-35,False
33,31,10,False
33,-20,-2,False
43,-19,48,False
-39,39,46,False
41,-24,-48,False
-7,37,-47,True
-47,-2,9,True
50,5,2,True
15,22,29,True
10,44,-13,False
-15,8,47,True
-8,14,-11,False
-20,-34,-11,False
-44,-2,-24,True
-27,5,-32,False
36,32,-1,False
-31,-3,8,False
32,11,-23,False
50,9,-5,False
27,40,-44,False
-19,-43,6,False
45,-13,-12,False
44,11,-7,False
41,-24,-39,True
-32,-18,-37,False
32,-49,17,False
4,50,-43,False
39,24,1,True
-13,-25,24,False
18,-24,-27,False
-30,-37,13,False
39,-30,-13,True
-30,35,-14,True
-17,30,16,False
16,30,7,False
-39,-22,-31,True
41,2,42,False
44,-49,-28,True
0,12,26,True
38,44,4,True
16,29,-36,True
6,-1,-3,False
33,38,-48,False
-44,-49,-47,False
-12,22,44,True
-18,10,-2,True
19,36,-14,False
-10,13,-10,True
34,3,9,False
-9,33,-26,False
-19,-41,6,False
5,27,34,False
-19,-19,-10,False
6,40,-43,False
45,50,-23,True
19,-26,0,False
45,-37,-50,False
-26,0,-30,True
-11,-12,30,False
41,-24,30,False
45,20,42,False
41,2,-50,False
20,-2,-18,True
43,-20,-43,True
40,-50,28,True
2,-36,35,False
26,-45,1,False
-14,20,-49,False
-17,-38,-5,True
-4,-5,-38,True
46,-1,-16,True
11,-5,26,False
-39,37,-50,False
2,-39,42,True
-7,-13,25,True
8,-15,-28,True
